gene,avg_logFC,p_val_adj,gene_set,scores,p_val
CIP2A,1.6454929,1.6937512181137781e-09,Other,6.242013,4.3197485703909857e-10
TMED3,1.6444464,1.2972771199973966e-30,Other,11.773252,5.361730032247303e-32
MOXD1,1.637533,4.9246436722418186e-18,Other,8.903502,5.411150809217321e-19
PITPNC1,1.6281472,1.9198965435031543e-26,Other,10.905596,1.083812564880813e-27
VAV3,1.625237,4.164720416429524e-21,Other,9.681591,3.610543909404628e-22
KLHL8,1.624072,1.4914019984001065e-17,Other,8.772722,1.743978143290447e-18
MT4,1.6140348,8.75139204264246e-11,Other,6.7090855,1.958476848252648e-11
NCOA7,-1.6111107,1.97928420110258e-18,Other,-9.008182,2.0950084789896258e-19
ENPP3,1.6110343,0.0001183053702942,Other,4.034408,5.474008565028165e-05
MANSC1,1.6072985,2.693413360217011e-19,Other,9.230728,2.6879830913456055e-20
C6orf15,1.6049342,0.0015512108535232,Other,3.336272,0.0008491002958297
TPH1,-1.6046169,5.525495537474629e-06,Other,-4.737215,2.166751778304063e-06
RNASET2,-1.6022655,1.0737561790399064e-41,Other,-13.827822,1.731864804903075e-43
COLCA2,1.6012654,4.520317599429978e-07,Other,5.2515445,1.5082914570678658e-07
HOXD4,1.600845,5.2139602870188885e-30,Other,11.647417,2.365203759232359e-31
TNNT2,1.5994842,2.884012978874042e-06,Other,4.8751388,1.0873194093738828e-06
DIPK1B,1.5955944,2.7202993056089265e-18,Other,8.97219,2.9067714354288934e-19
PDK1,-1.594635,1.298142265011403e-05,Other,-4.5520344,5.312961286236186e-06
SUSD4,-1.5925429,0.0001155305929492,Other,-4.0410023,5.322326711474142e-05
KRT80,1.5925082,1.111237250612832e-07,Other,5.5180507,3.4278084545113563e-08
EPHX1,1.5893469,2.827306560666538e-27,Other,11.081709,1.5390580068144459e-28
KIF23,1.5857301,2.697101627468963e-06,Other,4.8888764,1.0141319627479064e-06
LRRN2,-1.5854659,0.0001492876967298,Other,-3.9753373,7.027959110165808e-05
STRIP2,1.5847595,0.0062027153185141,Other,2.8983228,0.0037516423297464
GPR160,1.5812274,5.2864318627608166e-23,Other,10.133002,3.94350763955948e-24
LY6E,1.5794345,8.138896196845374e-27,Other,10.984998,4.512492851073544e-28
CSTB,-1.5700548,7.086207135514769e-24,Other,-10.337141,4.78604715805937e-25
IGFBPL1,1.5687943,0.0003233162456853,Other,3.7775183,0.000158398886495
PLVAP,1.5669901,0.0004412406305001,Other,3.692621,0.0002219547123181
CERS4,1.557004,1.8032095711645205e-19,Other,9.276886,1.745041520481794e-20
FBN2,1.5567253,2.8598709866179565e-14,EMT_hallmark,7.8402257,4.497377761213722e-15
CLEC14A,1.5452417,0.0266696469141678,Other,2.3771248,0.0174481863379989
BSPRY,1.5426877,3.2812499936291013e-18,Other,8.950484,3.5392515052249384e-19
ARHGEF19,1.5401069,2.9667813482138246e-10,Other,6.5219817,6.93844024985491e-11
DMBX1,-1.5346718,0.0265930868929152,Other,-2.3793228,0.0173444830843912
FAM169A,1.5296463,2.207810979980892e-07,Other,5.3891935,7.077458585019393e-08
CD24,-1.5283034,6.825808467918991e-20,Other,-9.383214,6.399195438674054e-21
SEMA6A,1.5271968,1.0604311816534766e-10,Other,6.6796875,2.3945220230884955e-11
RBP1,1.5251504,7.157125202994387e-19,Other,9.1233015,7.286992394177752e-20
AREG,1.5184106,0.0010211600037615,EMT_hallmark,3.4593594,0.0005414618568332
LSM4,1.5078849,1.6515698242323066e-18,Other,9.029062,1.7314844931467732e-19
FGF9,-1.4987904,0.0492425783411581,Other,-2.126554,0.0334571550422788
TMEM97,1.4945184,1.2573832402435202e-13,Other,7.6448793,2.0914136556469844e-14
ADGRG2,1.4912316,0.0005928856808402,Other,3.6132185,0.0003024195105898
KRT31,1.490146,0.0003825739883875,Other,3.7338333,0.0001885873793563
RASD1,-1.4797746,7.080628368568056e-17,Other,-8.588916,8.779408158607571e-18
CENPX,1.4715161,8.393872611424205e-17,Other,8.567485,1.05769564156051e-17
MPPED2,1.4684489,1.0449663511458962e-12,Other,7.356668,1.885574363458825e-13
STXBP6,1.4667814,6.969981470357572e-17,Other,8.591663,8.571953017980078e-18
C12orf45,1.4659958,9.750143504269765e-16,Other,8.269382,1.3465419960533842e-16
SMAD9,1.4649616,5.085486141308669e-10,Other,6.43681,1.2201065540639748e-10
C19orf33,1.462729,8.519414053403278e-09,Other,5.9719353,2.344556488486991e-09
HOXD11,1.4511478,2.3070825285600887e-32,Other,12.121358,8.139908114879346e-34
B4GALNT4,-1.442018,4.283974572156462e-05,Other,-4.2778354,1.887194443581022e-05
S100A8,1.4408803,1.5254494324060983e-05,Other,4.5138445,6.366290977985129e-06
NSG1,1.4343061,7.55684325402426e-14,Other,7.7124677,1.2340812572096071e-14
SELENBP1,1.4263234,5.5959571146544826e-18,Other,8.887293,6.261605239179914e-19
BIN1,1.4230076,1.1113208055390089e-15,Other,8.252898,1.5459906367377341e-16
NRN1,-1.4229231,1.1457014990882732e-09,Other,-6.306579,2.8527043374476155e-10
NFE2L3,1.422708,2.9667813482138246e-10,Other,6.5225315,6.913059834799847e-11
AP1S2,1.4057795,2.693413360217011e-19,Other,9.231003,2.6810965242991142e-20
CERS6,1.3936207,1.3649218356594697e-19,Other,9.308757,1.293373513628933e-20
MIOS,1.3930968,4.001255965422986e-12,Other,7.1648936,7.784701626276576e-13
GJB2,-1.3926269,0.0014640053015405,Other,-3.3538558,0.0007969383697902
PTRHD1,1.3906888,2.0662800856809305e-14,Other,7.8833613,3.1869037611812737e-15
PACC1,1.3880737,1.4034818813788752e-09,Other,6.27251,3.5527326608174485e-10
SMYD2,1.3879738,6.469124321931789e-37,Other,12.9780245,1.6303236698416804e-38
PADI2,1.381748,5.340290518783491e-11,Other,6.784092,1.1681885509838888e-11
SLC2A1,-1.3728971,7.699215553994698e-13,Other,-7.400353,1.3582285503518874e-13
PODXL2,1.3612067,1.8370173870920016e-15,Other,8.18586,2.703674783421696e-16
SSR2,1.3592726,2.2310487766735143e-37,Other,13.065669,5.1727945426906077e-39
CCNO,1.3501451,3.945697139869906e-07,Other,5.278195,1.3046256672150498e-07
PFKP,-1.3498762,1.1238107845385454e-15,Other,-8.2507,1.5746945468836471e-16
GRB7,1.3487653,2.593961035364408e-16,Other,8.429287,3.477790501043007e-17
MCM4,1.3466772,3.721492264891813e-13,Other,7.500636,6.350876698826651e-14
NOTUM,1.3420186,1.795459387079331e-16,Other,8.474895,2.352920567745091e-17
IRS1,-1.340278,9.91917133225281e-09,Other,-5.9452844,2.759769443247757e-09
AQP5,-1.3350594,8.757321677435208e-08,Other,-5.560911,2.6836953527624025e-08
C1QL1,-1.3258699,0.0005310366307014,Other,-3.6437156,0.0002687302304557
MARCKSL1,1.3214811,2.5677249742899307e-26,Other,10.875922,1.5012908115808065e-27
NRCAM,1.3197701,6.821147104033638e-16,Other,8.313618,9.282811079078033e-17
SP5,1.3177729,1.1703041102348683e-16,Other,8.528196,1.48647497872574e-17
SEPHS1,1.3172569,3.740766214725476e-11,Other,6.84069,7.881251399976054e-12
TRDC,1.3148866,2.6027932226099442e-17,Other,8.707882,3.096064518830377e-18
IQGAP3,1.312909,1.1881444087561629e-06,Other,5.0583963,4.227973551319813e-07
AHNAK2,-1.3122227,0.0002464955216349,Other,-3.8481286,0.0001190235432087
FABP4,-1.3085755,0.0036989091674754,Other,-3.0700407,0.0021402962319867
STOX1,1.2987413,0.0105475743772073,Other,2.718912,0.0065497034439109
ADGRL3,-1.2969605,0.000421499216081,Other,-3.7052593,0.0002111745064438
FGF3,1.2963281,0.0001183247226415,Other,4.033859,5.486831896685319e-05
TOP2B,1.2940795,9.726918832471284e-24,Other,10.302797,6.844172624561658e-25
SCUBE2,1.2850822,4.59025257120875e-06,Other,4.7762294,1.7861265045227597e-06
TACC2,1.2787647,8.927944377373175e-11,Other,6.705514,2.006987496123204e-11
C5,1.2783262,0.0010718272992843,Other,3.4442482,0.0005726496659483
TSPAN11,1.2768276,1.3592170072171003e-05,Other,4.5413194,5.590328013554204e-06
SCPEP1,1.2745591,3.271850476641501e-13,Other,7.518495,5.5410370975380254e-14
C4BPA,-1.2738956,7.857598727482826e-06,Other,-4.6616592,3.136702717825805e-06
C21orf58,1.2657484,3.4079148889999506e-06,Other,4.839971,1.2985804718165134e-06
S100A6,-1.2615169,1.2318005866572401e-22,Other,-10.048655,9.313008467670666e-24
EIPR1,1.2568198,1.0621830319174705e-08,Other,5.9334702,2.965974796785678e-09
ABRACL,1.255337,4.576653446259594e-16,Other,8.361698,6.182173002003886e-17
SAA1,1.2531213,2.528659691868889e-06,Other,4.9026136,9.456983323420944e-07
GADD45A,1.2528709,8.565128344545842e-12,EMT_hallmark,7.0577416,1.692303584204622e-12
TOMM34,1.2514474,1.1386357548888841e-08,Other,5.920832,3.2031700303063382e-09
