gene,scores,avg_logFC,p_val,p_val_adj
MT4,6.7090855,1.6140348,1.9584768482526477e-11,8.751392042642461e-11
TACC2,6.705514,1.2787647,2.006987496123204e-11,8.927944377373176e-11
SEMA6A,6.6796875,1.5271968,2.3945220230884955e-11,1.0604311816534766e-10
RFX5,6.6230893,1.0110464,3.517682379270183e-11,1.5509070756604539e-10
FAT2,-6.6066046,-3.5298078,3.9323489497520695e-11,1.7260575921035632e-10
ADM,-6.5637436,-2.0044825,5.2473379165484086e-11,2.2931097855577186e-10
PLCH2,6.559073,1.7548093,5.414331935151413e-11,2.355709333188685e-10
ARRDC3,-6.549182,-0.80495244,5.7853098111298054e-11,2.506125472768894e-10
ITIH4,6.538467,4.074339,6.21526833537409e-11,2.680672255952651e-10
NFE2L3,6.5225315,1.422708,6.913059834799848e-11,2.9667813482138246e-10
ARHGEF19,6.5219817,1.5401069,6.938440249854911e-11,2.9667813482138246e-10
MPP1,6.5104423,1.6473535,7.49297810039319e-11,3.190143465918474e-10
BRIP1,6.4777474,1.9253002,9.310207283776912e-11,3.9468912929515796e-10
TKFC,6.465658,1.0768818,1.0085868075308464e-10,4.2575238854068067e-10
ATPAF1,6.4434037,1.1229073,1.1682334656028026e-10,4.910540668974492e-10
AP1M2,6.4414806,1.1156291,1.1831362288683798e-10,4.952198898892121e-10
SMAD9,6.43681,1.4649616,1.220106554063975e-10,5.085486141308669e-10
EPPK1,6.4120827,1.0595785,1.4354517265100982e-10,5.958025576142332e-10
EMID1,6.4098845,1.0635507,1.456299684061803e-10,6.019372027455451e-10
AZGP1,6.3923006,3.356008,1.63408312319974e-10,6.726184473917602e-10
MT1G,6.382959,2.0600672,1.7369832262359498e-10,7.120195704239927e-10
ASF1B,6.343945,2.313852,2.239551142964783e-10,9.142529768810966e-10
HID1,6.3351526,0.95778894,2.3710611935391834e-10,9.639724196683892e-10
GPRC5A,-6.3343287,-1.8004065,2.3837701144603447e-10,9.651836545080252e-10
ITGB6,-6.315371,-0.835327,2.695142308388362e-10,1.0868216137891282e-09
NRN1,-6.306579,-1.4229231,2.852704337447616e-10,1.1457014990882734e-09
TCF12,6.298886,0.911396,2.997923233507632e-10,1.1991692934030527e-09
BRCA1,6.2884455,1.7210952,3.206604416731729e-10,1.2774905949389056e-09
DDIT4,-6.2747083,-0.9878412,3.5029073006196956e-10,1.3899536168858953e-09
PACC1,6.27251,1.3880737,3.552732660817449e-10,1.4034818813788754e-09
FAM136A,6.2719607,0.8783455,3.565296714793111e-10,1.4034818813788754e-09
CIP2A,6.242013,1.6454929,4.319748570390986e-10,1.693751218113778e-09
SPON1,6.2183847,1.0609794,5.022988768624857e-10,1.961734196250338e-09
VWA2,6.213439,0.89517456,5.183729091163047e-10,2.0165722582093107e-09
SUMF2,6.1576653,0.85365665,7.382519432907513e-10,2.8594961055135905e-09
CBX3,6.157116,0.78727967,7.408170354001944e-10,2.8594961055135905e-09
CENPU,6.147774,2.516861,7.857773519578543e-10,3.02128346179144e-09
CRACR2B,6.1323886,0.94401956,8.656944531311175e-10,3.3157100289809592e-09
PHYHD1,6.1255198,1.0316364,9.038810516428918e-10,3.4486538585759564e-09
CNFN,6.117277,2.2722158,9.51877011873486e-10,3.6178620527911803e-09
EFHD1,6.1057377,1.0474874,1.0232689563393298e-09,3.8743618499565466e-09
MFAP2,6.091176,0.94291925,1.1208417609894793e-09,4.2276616992454884e-09
ITGA6,6.0757904,1.0374045,1.2337865337492815e-09,4.636046369239725e-09
IGSF9,6.074966,0.99704283,1.240140503156217e-09,4.642337279739499e-09
ADGRB1,-6.038974,-2.9904351,1.5509736256964056e-09,5.784082092822686e-09
SLC20A2,6.0318303,1.0041213,1.6211286943859857e-09,6.0230699057336995e-09
IL1RN,6.0120487,3.0795255,1.8319349075224384e-09,6.78089338903828e-09
IAH1,6.0104,0.8893958,1.8506612376552702e-09,6.824743300200848e-09
RABGAP1L,6.0032563,0.91322863,1.933986667777297e-09,7.1056102756854775e-09
FAN1,5.98897,1.1620903,2.1117459975910865e-09,7.727722123614004e-09
EN2,5.98842,1.22569,2.1188915500231945e-09,7.727722123614004e-09
C19orf33,5.9719353,1.462729,2.344556488486991e-09,8.519414053403278e-09
