gene,scores,avg_logFC,p_val,p_val_adj
Gal,-0.11977922,-20.43677,0.9046580410570721,0.9635599046934629
Fyb2,-0.11977922,-20.743315,0.9046580410570721,0.9635599046934629
Lrrc71,-0.11977922,-21.096333,0.9046580410570721,0.9635599046934629
Lepr,-0.11977922,-22.254461,0.9046580410570721,0.9635599046934629
Daw1,-0.11977922,-20.7235,0.9046580410570721,0.9635599046934629
Rax,-0.11977922,-22.897966,0.9046580410570721,0.9635599046934629
Calml4,-0.11977922,-21.030073,0.9046580410570721,0.9635599046934629
Adam5,-0.11977922,-22.804298,0.9046580410570721,0.9635599046934629
Six1,-0.11977922,-22.120358,0.9046580410570721,0.9635599046934629
Aldh1a2,-0.11977922,1.4833899,0.9046580410570721,0.9635599046934629
Irf4,-0.11977922,-21.0847,0.9046580410570721,0.9635599046934629
Igsf1,-0.12303852,0.8015937,0.9020765938656566,0.9635599046934629
Cdca8,-0.12303852,2.0207531,0.9020765938656566,0.9635599046934629
Prdm6,-0.12303852,0.66003567,0.9020765938656566,0.9635599046934629
Uaca,-0.12303852,1.9575424,0.9020765938656566,0.9635599046934629
Fam180a,-0.12385335,-0.15146586,0.9014313927321137,0.9635599046934629
Il1b,-0.12466817,1.3342758,0.9007862567081794,0.9635599046934629
Cnn2,-0.16133527,2.2246602,0.8718293377978497,0.9516526732715488
Socs3,-0.16133527,2.230193,0.8718293377978497,0.9516526732715488
Birc5,-0.16907611,2.4297266,0.8657367725890277,0.9469317019749458
Lum,-0.17681696,1.901448,0.8596521760140174,0.9432606448300022
Glp1r,-0.18129848,-1.7684253,0.8561332960389041,0.9400131094979738
Wnt6,-0.18129848,0.6946088,0.8561332960389041,0.9400131094979738
Wnk4,-0.18129848,0.32561108,0.8561332960389041,0.9400131094979738
Isl1,-0.18129848,-0.076183416,0.8561332960389041,0.9400131094979738
Frmpd2,-0.18129848,0.004538206,0.8561332960389041,0.9400131094979738
Atp6v1c2,-0.18129848,0.477276,0.8561332960389041,0.9400131094979738
Ppp1r3b,-0.18333554,1.3112922,0.854534745798877,0.9400131094979738
Angptl2,-0.18333554,0.8692131,0.854534745798877,0.9400131094979738
Ckap2,-0.18333554,1.3569968,0.854534745798877,0.9400131094979738
Mrc2,-0.18333554,1.2542268,0.854534745798877,0.9400131094979738
Gbp2,-0.1853726,1.456804,0.8529367924510254,0.9400131094979738
Arpc1b,-0.23263244,2.2591126,0.8160468375034935,0.9036724201866749
Mxra8,-0.23548432,1.6125777,0.81383284535867,0.9018147745866343
Bbox1,-0.23955844,-22.518944,0.8106725820283203,0.8989054158242786
Gkn1,-0.23955844,-21.964506,0.8106725820283203,0.8989054158242786
Igfbpl1,-0.23955844,-22.854273,0.8106725820283203,0.8989054158242786
Lrrc23,-0.23955844,-21.83791,0.8106725820283203,0.8989054158242786
Hs3st3b1,-0.23955844,-22.802347,0.8106725820283203,0.8989054158242786
Slc47a1,-0.23955844,-22.43299,0.8106725820283203,0.8989054158242786
Slc26a7,-0.23955844,-22.000473,0.8106725820283203,0.8989054158242786
Odf3b,-0.23955844,-22.234472,0.8106725820283203,0.8989054158242786
Pln,-0.23955844,-22.008741,0.8106725820283203,0.8989054158242786
Omd,-0.23955844,-22.715136,0.8106725820283203,0.8989054158242786
Slc6a12,-0.23955844,-22.639982,0.8106725820283203,0.8989054158242786
Gpr149,-0.23955844,-22.155197,0.8106725820283203,0.8989054158242786
Papolb,-0.23955844,-22.07556,0.8106725820283203,0.8989054158242786
Tnmd,-0.23955844,-22.104792,0.8106725820283203,0.8989054158242786
Arsi,-0.23955844,-22.639982,0.8106725820283203,0.8989054158242786
Slc18a2,-0.23955844,-22.033735,0.8106725820283203,0.8989054158242786
Npbwr1,-0.23955844,-22.035389,0.8106725820283203,0.8989054158242786
Prg4,-0.24200292,0.7114647,0.8087779006502677,0.8989054158242786
Cst7,-0.24200292,1.1079834,0.8087779006502677,0.8989054158242786
Sln,-0.24200292,0.7984719,0.8087779006502677,0.8989054158242786
Ccl19,-0.24200292,0.43183354,0.8087779006502677,0.8989054158242786
Col6a3,-0.24200292,0.07169262,0.8087779006502677,0.8989054158242786
Vstm4,-0.24281774,1.8000576,0.8081465886657673,0.8989054158242786
Cnp,-0.29129982,0.5847403,0.7708220319082857,0.8696321044549183
Six3,-0.29944804,1.3207184,0.7645981987016367,0.8631897730137349
Trhr,-0.3006703,-0.6095274,0.7636659227310967,0.8631897730137349
Sdcbp2,-0.3006703,0.15113647,0.7636659227310967,0.8631897730137349
Clic6,-0.3006703,-0.021707999,0.7636659227310967,0.8631897730137349
Ppp1r32,-0.3006703,-0.39437383,0.7636659227310967,0.8631897730137349
Slc22a6,-0.3006703,-0.743147,0.7636659227310967,0.8631897730137349
Krt73,-0.3006703,0.027103882,0.7636659227310967,0.8631897730137349
Prph,-0.3006703,0.006939808,0.7636659227310967,0.8631897730137349
Ccdc187,-0.3006703,0.26789987,0.7636659227310967,0.8631897730137349
Fibin,-0.30148512,-2.4754286,0.7630445956389229,0.8631897730137349
Lbp,-0.30189252,0.5333327,0.7627339892999929,0.8631897730137349
Dynlrb2,-0.30189252,1.7288886,0.7627339892999929,0.8631897730137349
P2ry1,-0.30311477,1.121375,0.7618023996741363,0.8631897730137349
Itgb4,-0.33652258,2.137244,0.7364768278528104,0.8393339305902199
Aebp1,-0.350782,1.7824521,0.7257518943966524,0.8287968304896555
Nid1,-0.35689318,1.7845597,0.7211717641520171,0.8241262648127402
Tspan8,-0.35933766,-23.645756,0.7193424976993337,0.822595060294272
Sh3rf2,-0.35933766,-22.46079,0.7193424976993337,0.822595060294272
Ak7,-0.35933766,-22.71146,0.7193424976993337,0.822595060294272
Cfap299,-0.35933766,-22.753847,0.7193424976993337,0.822595060294272
Gpr182,-0.35933766,-22.84013,0.7193424976993337,0.822595060294272
Mpzl2,-0.35933766,-24.25342,0.7193424976993337,0.822595060294272
Mex3a,-0.35933766,-22.737915,0.7193424976993337,0.822595060294272
Tmem212,-0.35933766,-22.564304,0.7193424976993337,0.822595060294272
Crabp2,-0.35933766,-22.602705,0.7193424976993337,0.822595060294272
Fzd5,-0.3609673,0.5176586,0.7181238784248809,0.822595060294272
Lamc3,-0.3609673,0.47925895,0.7181238784248809,0.822595060294272
Slc13a4,-0.3609673,-0.5597716,0.7181238784248809,0.822595060294272
Tacr1,-0.3609673,0.9552922,0.7181238784248809,0.822595060294272
Eln,-0.36178213,0.7826872,0.7175148373525789,0.822595060294272
Lpl,-0.36259696,2.0366523,0.7169059757924194,0.822595060294272
Fbln2,-0.4065975,1.3094614,0.6843036347570215,0.7905940962381809
Rnf213,-0.41189384,1.7509692,0.6804172222718378,0.7871860637570264
Myof,-0.41922727,0.38203886,0.675050036369282,0.7818592450310765
Hspg2,-0.41922727,1.0503883,0.675050036369282,0.7818592450310765
Gpr101,-0.4200421,-1.3026563,0.6744546950308201,0.7818592450310765
Ntrk1,-0.4200421,-1.2301888,0.6744546950308201,0.7818592450310765
Oxt,-0.4200421,-0.26050553,0.6744546950308201,0.7818592450310765
Ecrg4,-0.4200421,-1.4116168,0.6744546950308201,0.7818592450310765
Fndc9,-0.4200421,-0.6137238,0.6744546950308201,0.7818592450310765
Zic4,-0.4200421,-0.35384232,0.6744546950308201,0.7818592450310765
Osr1,-0.42044953,0.93865144,0.6741571007388907,0.7818592450310765
Sphk1,-0.42044953,0.1149551,0.6741571007388907,0.7818592450310765
Fbln5,-0.42126435,0.31979525,0.6735620651129975,0.7818592450310765
Myh11,-0.42207918,0.2027575,0.6729672337019292,0.7818592450310765
Ifit3,-0.4595611,1.6199665,0.6458312857745265,0.754966892480514
Stra6,-0.47259828,0.9201479,0.6364997991802425,0.745094820628125
Togaram2,-0.4791169,-23.431229,0.6318554732329054,0.7401735543585463
Dnah5,-0.4791169,-23.65872,0.6318554732329054,0.7401735543585463
Ubxn10,-0.4791169,-22.884712,0.6318554732329054,0.7401735543585463
Itih2,-0.4791169,-23.066381,0.6318554732329054,0.7401735543585463
Ndst4,-0.4791169,-23.649042,0.6318554732329054,0.7401735543585463
B3gnt6,-0.4791169,-22.911304,0.6318554732329054,0.7401735543585463
Trim54,-0.4791169,-23.36867,0.6318554732329054,0.7401735543585463
Ccdc153,-0.4791169,-22.923822,0.6318554732329054,0.7401735543585463
Lrrc36,-0.4791169,-23.132883,0.6318554732329054,0.7401735543585463
Dnah10,-0.4791169,-23.552206,0.6318554732329054,0.7401735543585463
Cfap45,-0.4799317,0.36301923,0.6312759476669259,0.7401735543585463
Lama1,-0.4799317,0.2433972,0.6312759476669259,0.7401735543585463
Prrx2,-0.48074654,-0.58677006,0.6306966486860057,0.7401735543585463
Cks2,-0.49052444,1.8435913,0.6237628418307062,0.7373736547942455
Cenpa,-0.5210804,1.8656504,0.6023107910043937,0.7140228770651521
Gjb2,-0.5341176,0.5791585,0.5932602043278516,0.7037899812809588
Gstm2,-0.5377843,0.06630899,0.5907259951965864,0.7012785296083769
Ly6g6e,-0.53900653,0.344535,0.5898823670201948,0.7007719144600336
Slc18a3,-0.5394139,-0.40831718,0.5896012810492242,0.7007719144600336
Dqx1,-0.5394139,-0.66317457,0.5896012810492242,0.7007719144600336
Foxc2,-0.5394139,-1.5650893,0.5896012810492242,0.7007719144600336
Gbx1,-0.5394139,-3.216704,0.5896012810492242,0.7007719144600336
Dapl1,-0.5394139,-2.1161478,0.5896012810492242,0.7007719144600336
Lbhd2,-0.541451,-0.2969721,0.5881967783415363,0.7007719144600336
Bgn,-0.5605993,1.7291707,0.5750706901398615,0.6865723225320363
Prkcd,-0.5614142,1.6803823,0.5745152186617335,0.6863966471715522
Isg15,-0.5744514,1.1914334,0.5656623955419622,0.6763004885533701
Stk32a,-0.5940072,1.0802804,0.5525073192420956,0.6624570639414856
Cd4,-0.5972665,0.63315195,0.5503294896789273,0.6603168252321747
Serpina9,-0.5972665,0.3223483,0.5503294896789273,0.6603168252321747
Hhip,-0.5972665,0.94898427,0.5503294896789273,0.6603168252321747
Nxph4,-0.5972665,0.63641626,0.5503294896789273,0.6603168252321747
