gene,scores,avg_logFC,p_val,p_val_adj
Gas1,-0.4341888,0.39179233,0.6641513325764128,0.7785483891638423
Slc26a7,-0.4391987,-1.3245801,0.6605175750461721,0.7759119801905069
Ly6g6e,-0.44699183,0.22382793,0.6548809650253913,0.7698286029424355
Npy2r,-0.47371113,-0.44852284,0.6357059130401106,0.7493840391447587
Nexn,-0.47593775,0.18157274,0.6341187323222033,0.7480376063393851
Dqx1,-0.478721,-0.30479756,0.6321371211658956,0.7467480679408788
Lamc3,-0.4809476,-0.43862566,0.6305537314300345,0.7454014223163768
Sema3b,-0.48484418,-2.0728767,0.6277868809245433,0.7431758780522234
Htr3a,-0.49041072,0.15245841,0.6238433043194876,0.7390279031438046
Sp9,-0.4926373,-0.2755785,0.6222688787143735,0.7376826411275471
Pcp4l1,-0.4987605,-0.06798391,0.6179481260029331,0.7335951976065894
Trim54,-0.5104502,-2.7038465,0.6097361042202221,0.725383150172819
Ubxn10,-0.5115635,-3.1588333,0.6089565418817329,0.725383150172819
Cfap299,-0.51379013,-3.0481637,0.6073987494809197,0.7241399275726425
Rps6ka5,-0.52603644,0.38888484,0.598862880052919,0.7154857863318812
Phldb1,-0.53494287,0.08924515,0.592689349216571,0.7101288638867113
Hapln2,-0.54718924,0.36751473,0.5842487270555484,0.7020172338673173
Nxph2,-0.5521991,-1.8076326,0.580811942764564,0.6988868115871383
Ranbp3l,-0.55999225,-3.0386853,0.5754847276382504,0.6934694101504651
Hspa1b,-0.56500214,0.550756,0.5720723252532461,0.6898519216289145
Fgfbp1,-0.56611544,-0.92816156,0.5713153214361861,0.6894336362772641
Ogn,-0.5716819,-1.2309314,0.5675374694293003,0.6863528677055063
Ccnb1,-0.57724845,0.22051376,0.5637716204688987,0.6822894845271553
Hcar1,-0.58726823,-24.320534,0.5570235889312278,0.6750949192454174
Cfap45,-0.5894948,-0.37925208,0.5555293872754321,0.6747434248627177
Adamts2,-0.60062784,-0.1355233,0.5480878744182578,0.6666683913871861
Ccl19,-0.6139875,-0.16772385,0.5392235737372854,0.6563612074238788
Sox11,-0.62178063,0.50363356,0.534086109472407,0.6510505801472923
Ndrg1,-0.62178063,0.06924905,0.534086109472407,0.6510505801472923
Atp6v1c2,-0.62846047,-2.935049,0.5297023271895303,0.6475851723677094
Cfap206,-0.62846047,-2.8062446,0.5297023271895303,0.6475851723677094
Sp8,-0.62846047,-3.1092496,0.5297023271895303,0.6475851723677094
Cfap65,-0.62957376,-3.2194731,0.5289734790605026,0.6475851723677094
Hpcal1,-0.63235706,0.16956376,0.5271535941357399,0.6468213078410064
Bmp6,-0.65963304,-1.0727731,0.5094893643727371,0.6260611268352128
Slc17a8,-0.6663128,-1.0881184,0.5052111604000046,0.6221684693277713
Ano2,-0.66742617,-1.9469498,0.5044999706993283,0.6221684693277713
Mia,-0.6763326,-0.61562395,0.4988295109375619,0.6161149212976058
Mylk,-0.685239,-0.13056003,0.49319310550723283,0.6096011840865135
Lhfpl3,-0.6974854,0.20149791,0.4854990918405978,0.600974943581771
Tox3,-0.6985987,0.3337865,0.48480287209860284,0.6005553632997431
Tunar,-0.7063918,-1.0754795,0.4799445142126484,0.5949754634155324
Rasd1,-0.71195835,-0.8690535,0.47649057961880803,0.5911296415787575
Tnnt1,-0.712515,-0.6437031,0.4761459366610249,0.5911296415787575
Gal3st1,-0.7147416,0.37664726,0.47476873201708625,0.5898641822030465
Tspan2,-0.723648,-0.04137957,0.46928184662993977,0.583478390669326
Hmgcs2,-0.7308845,-0.9104749,0.46484969816524524,0.5788239574931684
Tspan11,-0.73311114,-0.53821015,0.4634906588066584,0.5775595236871703
Baiap3,-0.7375643,-0.33080643,0.4607792330503624,0.5746067438855038
