gene,scores,avg_logFC,p_val,p_val_adj
CD84,-0.6616701,-0.31760103,0.5081826743419056,0.9934699050120472
STAT6,-0.6622137,-0.36979577,0.507834292898522,0.9934699050120472
MMP2,-0.6626214,-0.44723538,0.5075730890950494,0.9934699050120472
TGFB3,-0.6661546,-0.76640916,0.5053122807421739,0.9934699050120472
TNFRSF1A,-0.66696995,-0.31913793,0.5047913099584582,0.9934699050120472
TGFB2,-0.66805714,-0.6440347,0.5040971228755307,0.9934699050120472
ATM,-0.67050326,-0.44127804,0.5025370453522051,0.9934699050120472
FFAR4,-0.6715904,-0.6584604,0.5018444979003391,0.9934699050120472
RAC2,-0.6753954,-0.40932906,0.4994245652585788,0.9934699050120472
FLT1,-0.67729795,-0.5960116,0.4982169268814419,0.9934699050120472
DMBT1,-0.67838514,-0.9508792,0.49752754587862513,0.9934699050120472
ADGRA2,-0.6792005,-0.8600118,0.49701084363369075,0.9934699050120472
COL1A2,-0.68001586,-0.34028152,0.49649442745791617,0.9934699050120472
HTT,-0.6842286,-0.34445688,0.49383084146899114,0.9934699050120472
NFKBIA,-0.6853157,-0.33247325,0.49314470796489707,0.9934699050120472
CSF1R,-0.6859952,-0.40209267,0.49271613399472747,0.9934699050120472
IL1RL1,-0.68762594,-1.1580539,0.4916883715152103,0.9934699050120472
IL1RAP,-0.68789774,-0.43151426,0.4915171897121925,0.9934699050120472
PGF,-0.6887131,-1.0392395,0.4910038363397642,0.9934699050120472
PROK2,-0.691431,-0.98066753,0.4892947408420699,0.9934699050120472
VCAM1,-0.69442064,-0.55117667,0.48741844217703034,0.9934699050120472
CPA3,-0.69795394,-0.6825171,0.48520601589598167,0.9934699050120472
IGF1R,-0.69808984,-0.72884417,0.48512103131022954,0.9934699050120472
HSPB1,-0.69917697,-0.33890763,0.48444144491691477,0.9934699050120472
EPHA4,-0.69985646,-1.2745502,0.48401696561263585,0.9934699050120472
ATR,-0.7001282,-0.46801126,0.48384723039099087,0.9934699050120472
ACVR1,-0.7001282,-1.066908,0.48384723039099087,0.9934699050120472
